TCGA-2H-A9GJ-01A-11R-A37I-31	TCGA-IC-A6RF-01A-13R-A336-31	TCGA-IG-A5B8-01A-11R-A28J-31	TCGA-JY-A6F8-01A-11R-A336-31	TCGA-JY-A6FB-01A-11R-A336-31	TCGA-JY-A93F-01A-21R-A37I-31	TCGA-KH-A6WC-01A-11R-A336-31	TCGA-L5-A43E-01A-11R-A24K-31	TCGA-L5-A4OG-01A-11R-A260-31	TCGA-L5-A4OH-01A-11R-A260-31	TCGA-L5-A4OJ-01A-11R-A260-31	TCGA-L5-A4OM-01A-11R-A260-31	TCGA-L5-A4OP-01A-11R-A260-31	TCGA-L5-A4OR-01A-11R-A260-31	TCGA-L5-A88S-01A-11R-A36D-31	TCGA-L5-A893-01A-11R-A36D-31	TCGA-L5-A8NW-01A-11R-A37I-31	TCGA-S8-A6BW-01A-11R-A31P-31	TCGA-V5-A7RE-01A-11R-A354-31
CLDN14|23562	0.8127	0.0586	0.1716	0.0217	0.4709	0.1093	0.0318	0.218	0.3483	0.0807	0.2377	0.0206	0.0572	0.1464	0.1833	0.1188	0.0795	0.1941	0.4582
CLDN15|24146	43.4653	2.3993	0.8954	47.5341	3.8074	0.5999	1.2872	38.9541	1.5985	27.4381	5.3094	4.8308	62.1021	7.4382	1.4192	4.7215	1.9929	2.4626	2.3679
CLDN16|10686	0.6542	0.0384	0.5696	0.1393	0.0962	0.3806	0.2213	3.0763	0.4422	0.1374	0.1096	0.5322	0.0861	0.2763	0.0712	0.1862	0.3872	0.7401	0.0775
CLDN17|26285	0	0.0543	0.2071	0	0	0.017	8.4872	0	0.0237	0	0	0.2233	0	0	0.5084	1.8206	14.9267	0.0332	0
CLDN18|51208	316.7555	0.628	0.1207	724.6449	967.511	0.062	0.0211	259.0895	588.4583	2.8241	662.7656	0.8784	0.0415	362.1504	0.0997	236.5129	2.3299	0.1979	151.5624
CLDN19|149461	0.0247	0.963	0.0084	0.0202	0.0109	0.2143	0.012	0.0047	0.0041	0.1301	0.0244	0.3049	0.0556	0.0826	0.036	0.0813	0.0375	0.0061	0.0221
CLDN1|9076	76.2413	10.8029	132.0332	9.4894	4.7933	313.0335	22.4651	104.8182	56.4016	27.095	24.5346	97.6111	12.2104	41.9013	22.7238	22.0033	88.9941	193.1338	50.8522
CLDN20|49861	0.318	0.1717	0.1577	0.127	0.2235	0.2918	0.1464	0.5204	0.4757	0.4123	0.2602	1.0096	0.5185	0.3221	0.1393	0.1882	0.4762	3.3054	0.3438
CLDN22|53842	0.8191	0.0586	3.555	0.5774	0.5374	1.6746	0.4309	0.1416	0.6716	1.1394	1.3837	1.4377	0.9742	0.5725	0.7878	0.3799	0.8205	1.2203	0.9592
CLDN23|137075	24.7774	0.5308	1.6374	107.7162	9.1764	0.1847	1.3546	65.4085	15.4572	13.1789	14.0428	0.9383	54.4292	7.597	2.3486	47.0206	3.3201	1.4754	11.9983
CLDN25|644672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0231	0	0	0
CLDN2|9075	10.1215	0.1857	0.0396	0.0206	6.2678	0.2396	0.0221	135.2724	11.6266	3.5953	0.9397	0.5513	1.0634	5.909	0.2208	8.5664	15.0246	0.2108	150.2929
CLDN3|1365	163.4376	0.2495	1.1548	192.7565	3.9218	0.2317	0.109	60.3523	5.5111	336.783	84.3513	2.319	429.6124	217.544	0.144	75.8648	20.4299	0.5763	21.0686
CLDN4|1364	149.0437	35.7184	32.0571	75.4576	80.4345	96.4872	41.9131	82.3397	125.108	430.8463	83.3446	17.9197	167.5882	89.4752	10.8489	95.8288	81.2176	28.6587	72.2364
CLDN5|7122	1.2028	6.4289	1.4957	5.5845	4.5701	0.605	4.0924	1.1637	1.953	3.0409	1.4769	2.6088	3.3312	2.7057	42.7878	12.964	2.9613	19.254	1.5175
CLDN6|9074	0.1379	0.6137	0.1602	0.0082	0.2684	0.1567	0	0.7675	0.2362	0.5745	0.0991	0.0264	0.0133	0.0154	0.0284	0	0.1449	0.0161	0.4707
CLDN7|1366	202.1433	24.1479	57.9772	73.0895	97.9463	78.6617	57.573	85.4025	65.7264	130.8277	148.0409	51.5647	125.8015	141.2099	8.7002	109.7513	77.1689	20.8274	114.6697
CLDN8|9073	0	0.0247	0.201	0	0	0	1.9297	0	0.1427	0	0	0.5691	0.0064	0	0.0121	0.3755	0.1913	0.7135	0
CLDN9|9080	0.2672	0.1979	0.2234	0.0385	0.2898	0	0.0242	1.0216	0.9373	0.6079	0.4703	0.0423	1.0551	0.1925	0.0126	0.1489	0.0344	0.0081	0.8821
CLDND1|56650	16.9533	28.9445	22.1905	11.9745	16.9373	26.6805	29.7636	9.8356	20.3473	12.3437	18.2203	60.3193	26.0432	19.4356	27.0272	16.3961	26.0185	30.5099	18.1577
CLDND2|125875	0.1921	0.1231	0.3405	0.0515	0.2357	0.4792	0.1855	0.6154	0.2772	0.6385	0.1444	0.3846	1.0992	0.4204	0.2777	0.3354	0.2119	0.5338	0.253
CLEC10A|10462	0.1049	0.5307	0.1975	0.1029	0.0293	0.1889	1.1712	0.3714	1.2452	0.3264	0.1016	0.9917	0.5457	0.4682	3.9014	2.1551	0.9039	0.068	0.1063
CLEC11A|6320	0.8763	3.3337	13.7761	1.728	4.0186	3.7506	1.6137	1.3961	1.5355	1.8596	1.2899	3.2611	1.0012	2.6501	22.21	3.042	2.7455	23.7499	0.7366
CLEC12A|160364	0.0436	0.2278	1.9864	0.1615	0.0381	0.069	0.2056	0.3295	0.6509	0.0531	0.1003	0.5492	0.2567	0.2605	0.8787	0.5087	1.2674	0.388	0.0893
CLEC12B|387837	0.0077	0.031	0.6911	0.0073	0	0.0022	0.0129	0.0191	0.0315	0.0099	0.0074	0.0461	0.0209	0.0041	0.047	0.0416	0.059	0.0488	0.0075
CLEC14A|161198	4.4752	4.3955	0.4059	6.6892	9.88	1.2559	2.5857	2.4528	4.3853	4.2267	5.7039	2.047	5.1135	4.8363	15.3861	7.7897	8.4643	2.022	3.1011
CLEC16A|23274	10.3738	8.8056	5.5496	4.4446	8.367	7.7002	6.8479	8.6575	5.2666	4.1272	6.0437	7.9516	15.1537	4.8287	5.3451	8.424	8.3398	6.0247	4.721
CLEC17A|388512	0.023	0.9774	0.0263	0.0164	0.0072	0.0178	0.033	0.0757	0.2154	0.0498	0.0317	0.3438	0.0401	0.0884	0.0967	1.8391	0.0661	0.0238	0.0064
CLEC18A|348174	0.0768	0.0449	0.0167	0.0483	0.0016	0	0.0274	0.0283	0.0412	0.0272	0.0224	0.0536	0.0232	0.0394	0.0029	0.0785	0.0327	0.0169	0.038
CLEC18B|497190	0.1182	0.2342	0.022	0.1803	0.0332	0.0089	0.2098	0.1274	0.1052	0.2302	0	0.111	0.0721	0.0901	0.0376	0.1243	0.2814	0.131	0.0686
CLEC18C|283971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC1A|51267	0.3908	0.8507	1.0243	1.1425	1.5583	0.6033	0.5918	0.5525	1.041	1.0878	0.6262	0.8907	0.8751	0.7073	3.3379	1.8412	2.0404	0.4978	0.3421
CLEC1B|51266	0	0.012	0.1032	0	0	0	0.0121	0	0.0207	0	0.0215	0.0031	0.0074	0.0138	0.0539	0.0121	0.0286	0.0384	0
CLEC2A|387836	0	0	0.0124	0	0	0	0.0406	0	0	0	0	2.4283	0	0	3.2039	0	0	0.009	0
CLEC2B|9976	0.5964	0.9719	14.9288	0.9588	1.5973	5.3803	6.0879	1.0199	3.0891	0.7567	0.7895	21.4924	1.547	1.5238	54.2691	2.9849	4.272	31.887	0.8097
CLEC2D|29121	0.1892	1.5068	0.7558	0.1803	0.169	0.4026	0.5382	1.0207	1.6672	0.9162	0.4697	3.02	1.9243	0.8565	0.7161	2.922	1.7649	1.2772	0.304
CLEC2L|154790	2.6192	0.0103	1.1282	0.0175	0	0.02	0.0522	0	0.0022	0.0048	0.0111	3.6504	0.3252	0.0327	0.1509	0.0496	0.1046	1.3254	0.0056
CLEC3A|10143	0.0074	0.0332	0	0.0113	0	0	0	0.0086	0	0	0	0	0.0206	0.0053	0	0	0	0	0
CLEC3B|7123	2.9485	5.197	0.1419	3.082	4.4926	0.7419	3.5338	2.0792	0.7473	3.0799	3.1287	1.797	4.4827	2.092	49.8352	14.0098	4.744	2.0451	2.5498
CLEC4A|50856	0.2393	0.6014	0.5047	0.3702	0.6606	0.5372	0.4969	0.464	2.2437	0.6915	0.6053	0.3827	0.9169	1.084	0.7168	1.028	1.7437	0.5647	0.1525
CLEC4C|170482	0	0.2919	0	0.0083	0	0	0	0	0.0085	0.0091	0.0105	0.0282	0	0	0.0382	0.2964	0	0	0.0427
CLEC4D|338339	0	0.1504	0.0274	0.0744	0	0.0647	0.0256	0.0751	0.3	0.0127	0.0699	0.0782	0.0765	0.0299	0.0937	0.0248	0.1255	0.0368	0.0075
CLEC4E|26253	0.0803	0.8643	0.1633	0.6789	0.2013	0.2988	0.1325	0.9022	2.4074	0.1636	0.4795	0.2891	0.4052	0.1818	1.1022	0.8383	1.4019	0.076	0.0869
CLEC4F|165530	0.0063	0.0555	0	0	0.0232	0	0.1457	0.0035	0.0224	0.0625	0.0096	5.2095	0.0194	0.0172	0.0872	0.1036	0.1207	0.0382	0.0059
CLEC4GP1|440508	0.0067	0	0.0071	0	0	0.0079	0.0174	0	0	0	0	0	0.0064	0.0049	0.3142	0.0132	0	0.0026	0
CLEC4G|339390	0.0054	0.0287	0.0926	0.0331	0.0105	0.0253	0	0	0.1015	0.0273	0	0.0531	0.0202	0.0348	7.7602	0.2611	0.036	0.0203	0
CLEC4M|10332	0	0.0261	0	0.0028	0.0018	0	0.009	0.0042	0	0	0	0.0038	0.0101	0.0013	0	0.0059	0	0.0054	0
CLEC5A|23601	0.0796	0.2249	1.0163	0.2053	2.1999	0.3635	0.362	0.3314	0.4302	0.2051	0.0957	0.7451	0.2606	0.3451	0.4831	0.3269	0.5071	0.8509	0.2477
CLEC6A|93978	0	0.0739	0.0074	0.014	0.0089	0.0318	0.0077	0.0212	0.2794	0.0306	0.0415	0.058	0.0891	0.0683	0	0.1482	0.122	0	0
CLEC7A|64581	0.1637	2.2577	14.3665	0.2513	0.998	1.3769	1.8072	0.6901	3.1	0.5981	0.4437	1.5423	1.1646	1.2499	10.1349	2.0182	4.9249	3.8492	0.185
CLEC9A|283420	0.0123	0.0792	0.0181	0.0139	0.0218	0	0.0351	0.0102	0.0979	0.0759	0.0593	0.0218	0.0287	0.066	0.437	0.08	0.1506	0.0021	0.0311
CLECL1|160365	0.0258	0.327	0.0286	0	0.0332	0.0298	0.0779	0.1467	0.0853	0.0467	0.029	0.0387	0.1207	0.063	0.0569	0.691	0.3181	0.063	0.0546
CLGN|1047	2.7367	0.0445	0.0384	0.0683	0.039	0	1.5427	0.0572	5.7658	0.3269	0.1339	0.6411	0.3635	0.1245	0.4171	4.4369	0.055	0.039	0.4216
CLIC1|1192	706.5221	182.3213	257.4595	682.8963	259.7795	230.3364	102.9736	293.0036	192.9185	300.4147	342.9301	139.5894	148.3511	192.7662	210.4726	268.1904	114.6183	172.3586	423.9786
CLIC2|1193	2.7284	1.1998	5.2841	2.2475	0.7835	1.0373	1.776	1.2962	2.2647	1.2643	1.2125	9.0224	2.5474	1.636	6.0531	3.5013	4.378	0.8511	0.6128
CLIC3|9022	13.362	85.0656	67.8149	1.2365	7.4765	294.737	497.6699	3.7891	33.2343	0.8071	2.426	5.2067	15.0934	0.9325	10.8055	134.0085	142.3177	3.9685	22.6415
CLIC4|25932	22.9806	47.8054	57.9446	9.5506	27.008	23.16	12.1726	20.8403	55.7454	22.946	24.5782	87.0481	18.0026	72.6979	112.3185	31.5726	36.6723	56.5453	26.2872
CLIC5|53405	1.3466	0.1057	0.0213	0.0461	1.5235	0.0452	0.0903	3.0579	0.6403	4.3252	0.2581	0.1105	23.42	0.5771	0.6178	0.3411	1.8502	0.0634	0.7448
CLIC6|54102	10.8099	0.2413	0.6743	2.5147	26.9511	0.0564	0.2473	21.0256	21.5123	0.6018	4.6712	2.2286	1.3555	23.2381	1.4106	5.478	4.9836	8.2317	7.2353
CLINT1|9685	60.5975	16.4495	17.0207	38.8702	25.9946	22.4363	26.1901	37.4691	25.7671	14.1466	20.7849	12.3471	20.6501	24.476	9.9814	27.8848	35.373	18.4054	25.3055
CLIP1|6249	14.323	23.6685	32.6359	5.4871	15.2974	67.7262	39.792	13.8455	33.5893	16.4096	12.6617	44.765	27.7529	16.7906	24.4976	21.7312	65.8001	17.069	10.7178
CLIP2|7461	4.9154	5.6418	3.7314	11.8604	34.8571	0.8738	2.7641	2.9365	17.7453	9.2722	9.1065	9.1674	30.6192	32.1862	15.2902	9.7733	7.0077	10.5871	9.1429
CLIP3|25999	1.1206	2.1554	0.9398	0.5828	1.6711	0.613	1.7486	1.1837	1.7836	2.1975	1.0509	1.7965	1.4852	2.598	17.3207	3.4514	3.3334	5.9903	0.9257
CLIP4|79745	1.9569	9.0807	6.2118	0.0744	3.1024	9.2983	7.6986	1.5533	3.2895	0.3873	0.2337	8.0142	1.5337	2.0117	4.9882	3.6158	18.0895	13.2518	2.249
CLK1|1195	12.6539	20.5338	17.713	13.978	10.6899	24.3621	15.5638	20.1199	16.9206	21.8582	15.751	23.1675	36.301	12.4752	17.7934	15.6738	27.57	6.4789	20.0948
CLK2P|1197	0.0163	0	0	0.0093	0	0	0	0.0189	0	0.0068	0	0.008	0.0303	0.0058	0	0.0043	0	0	0
CLK2|1196	20.3956	10.4383	20.9664	18.3947	12.6835	11.9838	7.4829	16.3353	11.0403	23.8307	23.9272	20.6385	19.0932	12.621	9.3295	11.7752	10.6154	9.0908	17.6947
CLK3|1198	5.3667	3.1603	6.5595	5.1111	5.0187	3.8771	3.0178	4.7065	3.718	3.2755	3.8764	4.1775	9.2928	4.304	2.9922	4.1807	3.4491	3.7995	2.8193
CLK4|57396	2.0671	8.0289	2.8642	2.8464	1.7387	2.4807	2.6737	3.3353	2.835	13.013	1.727	4.614	6.0566	2.1009	2.704	3.5701	4.471	1.1595	2.304
CLLU1OS|574016	0.1506	0	0.0429	0.1231	0.0313	0	0.045	0.0249	0.0505	0.0181	0.0208	0.0421	0.01	0.0912	0.0378	0.1204	0.0295	0.008	0
CLLU1|574028	0.1003	0.0062	0.0036	0	0	0.002	0.0451	0	0.0068	0.0029	0.0034	0	0.0032	0.0235	0.0183	0.0113	0.0048	0.0026	0
CLMN|79789	7.33	0.9007	0.1	2.0766	8.9062	1.8466	0.3669	14.9799	7.9505	5.8909	14.6347	3.856	9.1803	9.2944	1.6114	8.9018	4.1181	0.4341	10.992
CLN3|1201	13.9269	8.3558	16.6822	18.949	16.584	4.2502	6.362	12.4269	7.6583	14.0414	15.8915	9.9856	27.6143	14.006	14.1375	24.876	7.0592	11.1305	19.5882
CLN5|1203	7.9181	7.1808	10.4323	16.2753	6.2973	5.7816	3.4646	21.2976	9.9586	4.4777	5.8298	6.5093	24.1519	8.2757	7.4963	10.4403	4.7139	10.2544	5.699
CLN6|54982	15.8642	14.6174	8.7642	32.1162	40.1293	21.3348	5.1652	21.0091	12.642	15.7929	26.595	19.9688	15.5788	22.3304	9.6303	22.2775	12.4367	18.449	22.5352
CLN8|2055	2.2358	3.042	2.1242	1.1637	2.656	4.9882	3.4646	3.9901	2.7987	2.7783	0.9984	3.6873	3.6514	2.2754	3.526	2.4636	3.2051	1.5703	1.2989
CLNK|116449	0.0101	0.0486	0.0228	0.0138	0.0063	0.0117	0.0076	0.0375	0.0407	0.0602	0.0135	0.0455	0.1649	0.0532	0.0293	0.1498	0.1425	0.0087	0.0601
CLNS1A|1207	53.9258	66.4492	50.947	88.2475	56.4033	55.0667	30.1107	44.0329	61.0211	78.2114	59.1047	27.0913	20.7398	45.1346	22.0453	32.3238	39.9538	55.3311	69.766
CLOCK|9575	3.5835	2.6397	1.4632	7.9651	5.2828	4.7156	8.7301	8.1644	5.5252	7.0394	6.886	12.4088	16.0386	8.7135	3.23	7.1789	11.0644	2.8193	3.2175
CLP1|10978	6.6281	6.8278	4.521	9.6576	7.9413	5.3535	2.795	7.891	5.3025	5.4695	8.3778	5.9194	3.6902	6.5948	7.605	4.7357	9.8797	5.268	7.5621
CLPB|81570	13.1628	2.5128	8.4329	11.4176	7.087	6.9751	3.1066	6.6208	8.3591	23.322	11.7024	5.8761	4.8046	9.7679	5.1899	7.3173	7.9832	6.2052	8.8772
CLPP|8192	24.281	34.959	13.4214	38.2286	42.4553	31.7065	20.2505	20.8965	33.8425	36.3928	39.0075	17.4631	13.3699	33.8828	33.8491	31.5114	17.8299	27.3312	47.358
CLPS|1208	0.123	0	0.023	0.06	0	0	0	0	0.0352	0.0283	0	0.4995	0.0209	0.2924	0.0394	0.0972	0	0	0
CLPTM1L|81037	17.4723	25.3443	55.9296	40.3413	27.9252	18.8981	10.1652	26.4235	23.206	37.0341	48.9242	46.9931	59.3763	86.7186	49.9307	35.3798	14.779	29.8602	69.5356
CLPTM1|1209	89.3565	65.2212	68.3889	89.1464	76.0417	35.4507	41.656	42.7974	37.5254	63.9297	64.2245	43.6811	42.2019	69.5035	61.123	56.8691	46.3457	59.4315	83.5952
CLPX|10845	13.9404	16.3345	16.9225	20.4735	19.3412	22.5174	16.8852	13.257	17.1424	16.611	21.3348	15.6116	15.7471	17.5236	10.18	14.3543	22.3477	12.35	11.6603
CLRN1OS|116933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLRN1|7401	0	0	5e-04	0.0071	9e-04	0	0.0089	0.0244	0	0.0058	0	0.0026	0.013	9e-04	0.0057	0.0017	0.0044	0.0082	0
CLRN2|645104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLRN3|119467	18.6748	0.0438	0.0122	34.2634	3.7372	0	0	8.9052	17.081	6.1817	22.3427	0.0319	30.265	21.0203	0.0143	17.3775	2.7503	0	17.309
CLSPN|63967	1.6489	2.2476	2.9282	3.2559	4.6915	2.402	0.5843	2.6931	2.0108	4.3288	3.675	5.0428	1.9371	4.489	1.9057	6.4578	2.8536	2.4585	5.1103
CLSTN1|22883	87.9345	45.746	185.3858	30.8525	55.2665	41.6815	48.0336	60.7602	42.6348	40.0441	35.8193	233.4842	114.6943	50.0492	94.5637	99.9121	60.7917	109.2352	60.7715
CLSTN2|64084	0.1678	0.1547	0.1878	0.0543	0.1491	0.0439	0.2401	0.1567	0.385	0.2934	0.2167	8.6305	0.3745	0.8604	0.4367	0.3894	0.1424	0.8881	0.0467
CLSTN3|9746	15.707	9.749	4.193	3.5846	8.0254	3.4509	1.9526	6.7007	10.7054	4.1221	3.815	12.4258	9.9987	6.9462	12.8317	7.0659	5.3024	8.9535	6.4507
CLTA|1211	89.1457	82.9538	112.6479	172.2897	76.8679	111.17	70.0637	98.6525	107.0949	34.3585	117.1842	43.1373	49.0912	82.0667	73.1467	110.9559	86.9413	514.8022	112.7663
CLTB|1212	66.5688	234.0431	181.7657	84.7235	56.7971	115.7751	182.8941	58.5811	46.3962	50.2279	36.6741	33.2639	97.4723	20.294	111.0472	109.6301	101.0849	38.5183	92.3905
CLTCL1|8218	2.7716	1.7135	0.3854	0.0816	0.2048	1.8074	1.6389	0.1312	0.2912	1.7238	0.234	1.4889	1.1909	0.2232	1.0686	2.1569	1.7847	3.2663	0.1354
CLTC|1213	94.4272	57.9711	74.9232	73.1559	127.1438	41.8016	54.8667	109.3122	84.0237	88.6578	96.0137	72.6193	105.4384	109.1061	66.9916	70.8693	75.0943	71.0242	130.6911
CLUAP1|23059	0.5692	1.3248	1.0298	0.7028	2.1876	1.8248	0.8242	2.0414	1.854	1.5766	1.6455	2.3441	3.8319	1.2663	1.9445	1.2944	0.8619	6.1985	1.4096
CLUL1|27098	0.0291	0.2364	0.1705	0.0639	0.1815	0.0896	0.1392	0.0241	0.0973	0.2319	0.1013	4.8612	0.7743	0.4106	0.1545	1.0401	0.0864	0.0507	0.1866
CLU|1191	417.0154	40.7699	3.2561	364.5787	43.2584	0.7274	48.2413	233.4709	1.8735	8.5429	99.6531	42.9941	12.3404	31.0361	71.741	91.1363	7.5774	12.1982	71.1083
CLVS1|157807	2.0824	1.6459	3.3307	8.2342	1.9452	2.8443	2.4077	7.3008	3.884	1.6633	3.4243	3.7273	3.0319	2.7588	4.4342	2.34	2.9075	4.3928	9.9334
CLVS2|134829	1.3259	0	0	0	0.0071	0	0	0	0	0.0062	0	0	0.0218	0	0.0077	0	0	0	0.0036
CLYBL|171425	0.3217	0.453	0.716	3.9503	0.5967	0.086	0.3762	2.5083	1.0079	0.9661	0.8376	0.6968	2.1866	0.5928	0.657	1.3394	0.437	0.7406	0.1712
CMA1|1215	0.0146	0.2082	0.0031	0	0.0067	0	0.1371	0.02	0	0.0228	0.0277	0.1629	0.0536	0.0371	2.0842	0.4304	0.1383	0.0096	0.0022
CMAH|8418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMAS|55907	19.2218	24.7886	28.3084	22.1263	18.3154	28.3931	42.7357	15.7573	23.9255	18.3333	24.0083	23.6836	22.1549	24.7871	51.4082	24.7286	20.474	22.9871	26.1924
CMBL|134147	5.7541	3.4433	1.7853	75.8892	21.7028	1.804	0.3799	19.9216	11.7523	23.9961	54.9559	8.761	7.1338	37.9598	5.2518	21.4188	2.7833	7.8405	24.134
CMC1|152100	11.219	9.4231	11.4338	21.3214	12.7582	14.4203	6.6772	12.7914	12.1164	11.2553	10.6532	5.6269	10.0687	23.121	8.0785	12.8551	8.4027	10.9756	43.946
CMIP|80790	29.5134	42.029	87.9439	27.3437	34.9791	48.2028	20.3954	44.8756	43.1384	33.8958	14.161	48.4647	65.1525	23.5181	30.7803	36.6214	27.218	38.2158	16.7478
CMKLR1|1240	0.2636	0.9257	0.2116	0.2768	0.405	0.1866	0.4299	0.5677	1.6269	0.3863	0.3349	0.5483	0.8515	0.9201	2.4422	1.7205	2.5511	0.3974	0.2091
CMPK1|51727	64.0925	38.98	78.5719	71.3637	97.2834	53.9101	56.6005	132.6277	70.3859	84.0394	149.6957	52.0273	121.4922	157.6963	42.5885	137.5045	57.5952	30.4628	51.175
CMPK2|129607	2.6253	52.6696	3.1352	1.5515	2.555	0.5273	6.2908	1.1368	3.1823	22.4554	1.8581	0.9582	2.9214	2.0669	3.0958	11.1821	6.1886	9.7939	9.9141
CMTM1|113540	3.4318	5.2103	6.3548	4.8282	6.7616	1.9578	1.1331	7.2852	12.6971	6.7166	4.5644	5.4846	10.6614	3.5961	3.7754	5.1021	2.6776	2.9705	4.2064
CMTM2|146225	0.1423	0.3194	0.0986	0.2822	0.2146	0.0343	0.0364	0.7649	0.4437	0.1928	0.2759	0.4277	1.0124	0.0992	0.1903	0.3306	0.2286	0.0785	0.1476
CMTM3|123920	1.7154	11.5227	4.4938	1.6543	3.463	8.9651	1.5557	1.7888	5.0137	2.3647	2.5667	5.6645	3.0768	4.1829	12.5839	3.7955	4.8802	16.5783	1.9248
CMTM4|146223	19.6694	4.8958	2.4791	10.3774	24.4391	4.2014	2.8634	8.7714	22.5882	26.8716	13.6856	7.0884	12.4051	12.5748	3.0329	8.6143	3.6798	7.7805	15.9031
CMTM5|116173	0	0.0701	0.0324	0	0	0	0.0442	0	0.0082	0	0	0.1133	0	0	0.165	0.0456	0	0	0
CMTM6|54918	28.5473	34.6874	24.9824	16.3167	27.5635	40.0063	14.4374	32.1019	31.8803	19.085	18.6479	15.7421	16.7465	35.8081	18.7423	29.0156	31.8155	21.3327	56.6333
CMTM7|112616	6.9615	3.0916	2.353	20.7576	21.7618	7.2233	1.0364	15.457	20.0808	11.7034	5.4826	4.67	4.0867	12.0156	7.5741	14.6201	8.6905	8.352	49.237
CMTM8|152189	15.7442	5.0449	0.523	27.1019	17.8297	4.3446	1.7158	12.5725	9.0968	9.0516	8.9143	2.1171	8.5145	23.4523	4.1353	9.0054	7.2673	4.9995	22.0436
CMYA5|202333	0.1287	1.9599	0.4117	0.1605	0.0287	0.0362	0.1016	0.0359	0.0617	0.1354	0.0194	1.0328	0.3052	0.0518	0.4652	0.0908	0.2968	1.2519	0.1101
CN5H6.4|150384	0.2243	0.205	0.0499	0.0445	0.3072	0.1924	0.0571	0.2506	0.0685	0.058	0.335	0.5637	0.449	0.0943	0.127	0.1825	0.0906	0.2785	0.1432
CNBD1|168975	0	0	0	0	0	0	0	0.0037	0	0.1324	0	0.0693	0	0	0	0	0	0	0
CNBP|7555	93.1363	134.0753	177.2056	98.0342	70.6523	112.6999	59.037	70.7368	69.5766	54.9374	68.9519	104.5403	83.276	93.6048	67.2457	73.7108	58.9048	119.2786	91.5049
CNDP1|84735	0.0827	0.0341	0.0138	0.32	0.497	0	0.0054	0.1448	0.1332	0.0131	0.0758	0.0116	1.0999	1.2278	0.0305	0.6386	0.0441	0.0097	10.0521
CNDP2|55748	25.1255	23.1319	12.8447	16.9192	35.6522	6.7406	11.4933	21.212	13.7981	17.4389	19.5543	11.7338	26.6741	12.4247	11.0045	23.4029	14.4131	9.5696	73.9393
CNFN|84518	1.576	493.4066	3572.9332	1.3861	2.2135	832.8735	3927.3361	1.6011	164.533	2.8862	0.823	113.8549	2.4141	1.9984	208.0348	576.5372	1173.2237	81.5847	3.3374
CNGA1|1259	0.5823	2.0225	2.2755	1.0014	1.1035	1.0709	3.039	0.9365	0.3761	2.5118	0.4255	0.6038	12.1428	0.4059	0.2671	1.2975	1.8541	0.1959	1.1865
CNGA2|1260	0	0	0	0	0	0	0	0	0	0	0	0.0128	0	0	0	0.0699	0	0	0
CNGA3|1261	0.0144	0.0257	0.0037	0	0.007	0.0042	0.0181	0	0.0014	0.0106	0	0.0352	0.0067	0.0026	0.2904	0.0797	0.0033	0.0107	0
CNGA4|1262	0.2214	0.0031	0.0687	0.0039	0.0312	0.004	0.0273	0.0254	0.0289	0.1906	0.0265	0.0286	0.0795	0.0278	0.006	0.0149	0.0132	0.0302	0.0068
CNGB1|1258	0.0252	0.0702	1.6309	0	0.0065	0.0739	0.0521	0.0108	0.3358	0.0039	0.0179	1.3878	0.0257	0.0088	4.2818	0.0151	0.3279	2.509	0.0025
CNGB3|54714	0.2854	0.0061	0.108	0.0057	0	0.1442	0.0107	0.0098	0.0797	0.0371	0.0164	0.1039	0.0076	0.3663	0.0218	0.0055	0.061	0.1178	0.3075
CNIH2|254263	0.355	0.8184	2.2401	0.1538	0.7	0.1196	0.6549	0.6713	0.4072	0.4273	0.1411	5.2084	0.4526	1.1883	5.9711	8.492	0.372	1.3123	0.3115
CNIH3|149111	0.1478	0.0581	0.1372	0.0725	0.2348	0.1593	0.0444	0.0793	0.1977	0.0905	0.0361	2.186	0.2664	0.3061	0.6959	0.6332	0.3936	1.2138	0.0578
CNIH4|29097	6.0229	7.8527	15.7497	10.2595	11.7995	7.562	5.2141	5.421	7.3132	12.0358	3.9572	10.9294	11.4579	6.3446	9.54	7.8849	9.0938	12.0073	16.9274
CNIH|10175	56.4596	53.0887	63.5705	44.7768	35.1655	86.3704	24.7715	77.3778	54.3375	49.8101	71.3453	34.9791	77.0691	76.8812	46.6448	44.9365	34.8481	63.3856	72.8195
CNKSR1|10256	14.1985	17.1729	29.6608	11.5515	10.2622	9.166	15.8244	15.238	11.6271	23.0885	17.0443	16.3857	23.5537	4.1526	6.7009	15.7275	10.5246	5.1171	10.9106
CNKSR2|22866	0.0024	0.0317	0.0021	0.0079	0	0	0.0099	0.0157	0.0285	0.0107	0.0121	0.0245	0.0019	0.0207	0.6286	0.124	0.0171	0.0386	0.0102
CNKSR3|154043	1.4773	2.457	0.5094	4.2393	3.8269	2.5486	3.6995	2.0456	2.1539	3.7866	2.1142	4.922	1.5107	3.7544	1.8332	4.1776	3.9175	1.5261	2.703
