TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
NPLOC4|55666	1546.3662	2544.181	1376.5943	2428.0488	2064.106	4192.9825
NPL|80896	249.4509	39.1523	30.8339	145.122	110.4538	768.0921
NPM1|4869	10481.5204	13817.5287	6170.1472	6253.6585	29614.4471	8154.6053
NPM2|10361	72.5814	4.3103	15.9776	73.9837	8.2183	5.4825
NPM3|10360	311.7181	282.6868	239.3833	443.4959	2156.8083	522.4781
NPNT|255743	6387.1645	3077.9454	14108.199	3751.2195	143.9845	57.5658
NPPA|4878	1.528	0	1.1212	1.2195	0	21.3816
NPPB|4879	0	0	0	0.813	0	1.0965
NPPC|4880	1.146	0	2.8031	4.878	0	0
NPR1|4881	230.3505	81.5374	94.7442	221.5447	215.3192	179.2763
NPR2|4882	491.2616	903.3764	284.7933	586.5854	31.5582	246.1623
NPR3|4883	703.6577	397.2701	151.6468	219.1057	165.0233	47.6974
NPRL2|10641	431.7563	507.5108	319.3889	221.7805	234.3857	546.5132
NPRL3|8131	497.7557	1604.5259	2086.335	2784.9593	1071.0077	1447.3684
NPSR1|387129	0	0	0	0	0	0
NPS|594857	0	0	0	0	0	0
NPTN|27020	7083.1821	7755.7471	4262.6489	5881.3008	1564.7626	1919.4079
NPTX1|4884	217.3622	1.0776	11.4926	0.4065	6.2459	1.6447
NPTX2|4885	8.7862	157.6868	14.2957	86.5854	0.9862	928.1798
NPTXR|23467	132.9386	19.3966	845.1296	366.2602	797.1742	1482.4561
NPVF|64111	0	0	0	0	0	0
NPW|283869	0.382	0	0.8409	1.626	273.8335	6.0307
NPY1R|4886	51.571	52.0833	29.7127	36.9919	65.7463	0
NPY2R|4887	0.382	0	0	0	0	0
NPY5R|4889	0.764	1.4368	0	0	2.6299	0
NPY6R|4888	302.9319	448.9943	49.3343	172.3577	1.3149	0.5482
NPY|4852	0	0	0	0	0	0
NQO1|1728	362.1431	372.8448	206.5872	1974.7967	758.7126	657.3465
NQO2|4835	1030.6561	396.1925	889.979	953.6585	425.3787	1192.4342
NR0B1|190	27.8865	0.7184	0.5606	4.878	0	3.2895
NR0B2|8431	961.1307	1542.7443	1185.9846	2036.9919	0	0
NR1D1|9572	309.4795	806.8319	729.7912	1001.2358	517.703	2626.8805
NR1D2|9975	2690.8605	2574.3534	5763.1395	1906.5041	580.8688	578.9474
NR1H2|7376	3687.8999	4932.4713	1523.4758	3021.9512	1536.1629	3918.3114
NR1H3|10062	728.492	628.592	439.5235	613.4146	415.5168	776.3158
NR1H4|9971	1.528	0.3592	0.2803	2.8455	3.616	3.2895
NR1I2|8856	3.0561	1.0776	0.8409	0.4065	0	1.0965
NR1I3|9970	9.4776	7.4389	3.3301	11.6098	5.5621	33.5088
NR2C1|7181	333.4925	438.2184	155.8514	246.3415	619.0017	328.3991
NR2C2AP|126382	263.7456	488.9799	348.8157	306.8821	457.3183	943.4594
NR2C2|7182	1389.5827	1338.7464	1520.8549	749.687	1038.2068	439.6217
NR2E1|7101	0	0.7184	0	2.439	0	0
NR2E3|10002	1.91	3.2328	2.5228	7.7236	3.616	6.0307
NR2F1|7025	123.7704	24.0661	35.8795	66.2602	360.9473	341.557
NR2F2|7026	1180.021	150.5029	1262.2285	639.4309	885.603	656.7982
NR2F6|2063	1813.7714	1149.0661	1148.7036	1993.0894	849.4426	1651.3158
NR3C1|2908	1493.6491	2183.908	1715.2067	822.3577	1741.949	1687.5
NR3C2|4306	2998.7585	4139.0086	2447.3721	2119.9187	30.572	13.7061
NR4A1|3164	1672.8106	5553.1609	2343.658	3615.8537	195.2666	828.9474
NR4A2|4929	63.7952	129.3103	87.4562	340.6504	24.9836	92.1053
NR4A3|8013	67.2333	240.3017	65.3118	119.5122	41.4202	59.2105
NR5A1|2516	0	0	0	0	0	1.0965
NR5A2|2494	35.5267	21.1925	29.1521	34.1463	10.8481	33.443
NR6A1|2649	3.8201	0.3592	8.9699	6.0976	14.7929	7.1272
NRADDP|100129354	0.764	0	0.5606	1.626	0	3.2895
NRAP|4892	0	0.9878	5.4071	0	0.7035	0
NRARP|441478	68.7613	108.1178	131.4646	135.3659	108.8102	152.4123
NRAS|4893	796.1035	979.5259	932.3055	787.3984	1152.5331	1548.2456
NRBF2|29982	278.4834	406.25	324.3167	607.3171	601.5789	582.2368
NRBP1|29959	911.4698	604.1667	778.9769	814.6341	3203.1611	3695.7237
NRBP2|340371	509.9799	590.8764	438.4022	2355.2846	1449.0491	884.3202
NRCAM|4897	1517.7156	3697.9167	195.9355	2217.8862	27.2847	10.4167
NRD1|4898	4386.5915	3047.0546	2115.7673	1976.4228	3500.3345	2651.3158
NRF1|4899	250.2149	248.9224	290.6797	285.7724	357.3313	532.3465
NRG1|3084	9.5502	0.3592	6.4471	30.4878	248.5211	1.0965
NRG2|9542	122.6244	123.5632	116.6083	41.8699	0.6575	0
NRG3|10718	791.5194	183.5489	473.1605	53.6585	5.5884	0
NRG4|145957	207.8121	132.9023	98.1079	60.9756	0.3287	3.2895
NRGN|4900	44.3129	51.0057	22.4247	50	35.8317	206.6886
NRIP1|8204	618.4701	741.3793	875.4029	768.6992	1050.955	762.6096
NRIP2|83714	143.2528	167.7443	104.555	94.3089	47.3374	32.8947
NRIP3|56675	348.3908	190.0144	58.5844	109.3496	625.905	294.9561
NRK|203447	8.7862	1.0776	0.8409	1280.0813	5.2597	8.2237
NRL|4901	80.3476	426.0632	77.5978	75.9065	8.2709	64.0735
NRM|11270	79.8396	47.4138	55.5011	66.2602	998.0293	1622.2588
NRN1L|123904	0	0	0.0364	2.7195	1.7324	1.2774
NRN1|51299	150.5109	19.7557	17.9397	65.8537	51.2821	1281.25
NRP1|8829	1292.7132	867.4569	956.6924	984.1463	13950.3845	2878.2895
NRP2|8828	740.7124	123.9224	253.679	285.3659	8052.9389	1713.8158
NRSN1|140767	0	0	0	0.4065	0	0
NRSN2|80023	523.7322	414.5115	988.6475	443.9024	111.7688	2412.8289
NRTN|4902	36.2907	38.0747	59.4254	89.8374	8.2183	4.386
NRXN1|9378	0.382	0	0.2803	0.4065	0.3287	22.4781
NRXN2|9379	11.0782	3.9511	3.3637	2.8455	81.5254	46.0526
NRXN3|9369	1793.525	684.2672	1439.103	1067.8862	10.5194	153.5088
NSA2|10412	1981.0906	4250.7184	1668.9559	1125.6098	3887.5804	1530.1535
NSD1|64324	1869.9265	1038.4339	1761.4576	1093.9024	205.1285	1684.2105
NSDHL|50814	454.9709	590.158	788.227	395.122	382.9724	294.4079
NSFL1C|55968	1134.5621	2021.9109	2265.1717	1448.7805	2129.5236	1617.3246
NSF|4905	793.0475	643.319	869.5165	559.3496	942.1449	861.2939
NSL1|25936	378.9514	250.3592	252.2775	182.9268	481.5919	542.7632
NSMAF|8439	646.582	224.8563	434.1696	893.9268	1124.5778	1067.4342
NSMCE1|197370	396.1417	480.2443	613.3146	679.2683	1240.9619	1453.9474
NSMCE2|286053	354.1209	674.569	234.0575	686.5854	868.509	412.8289
NSMCE4A|54780	320.5042	461.5661	300.2102	351.2195	497.0422	213.2675
NSUN2|54888	1631.9358	1504.3103	909.3203	2347.9675	1369.8247	2013.7061
NSUN3|63899	140.1967	168.4626	135.0974	65.4472	58.843	94.2982
NSUN4|387338	344.9527	276.2213	129.7828	458.9431	348.1268	634.3202
NSUN5P1|155400	512.272	297.0546	123.0554	3710.5691	108.4814	334.4298
NSUN5P2|260294	757.8913	703.5129	270.9404	4699.3049	287.1241	936.2226
NSUN5|55695	887.7853	844.1092	600.9811	2332.9268	904.012	1133.7719
NSUN6|221078	99.3219	154.0948	139.5936	85.7724	269.2312	153.5088
NSUN7|79730	494.3176	751.4368	1469.3763	466.6667	7.8896	8.7719
NT5C1A|84618	0.382	0	0	0.4065	0.3287	0
NT5C1B|93034	4.2021	1.796	1.9622	1.2195	0.3287	4.5504
NT5C2|22978	991.6913	949.3534	1323.8963	1399.5935	1570.6798	603.0702
NT5C3L|115024	570.3371	1436.7816	488.0168	585.7724	874.4262	1069.6272
NT5C3|51251	495.4637	359.1954	801.9622	417.8862	358.6462	241.2281
NT5C|30833	254.035	411.6379	225.3679	450	733.0716	760.9649
NT5DC1|221294	2551.4278	1289.1523	1973.651	872.3577	523.6695	110.1974
NT5DC2|64943	338.2676	70.3089	160.8185	414.3171	2619.3731	8041.5625
NT5DC3|51559	400.3438	200.431	180.5186	438.6179	590.402	332.2368
NT5E|4907	182.5996	43.8218	126.9797	170.3252	7874.4377	304.8246
NT5M|56953	184.8916	190.0144	144.9194	100	127.5479	134.3202
NTAN1|123803	338.0766	496.408	314.7863	453.252	453.6497	971.4912
NTF3|4908	0.764	2.5144	2.2425	1.626	2.3011	6.0307
NTF4|4909	0	0	0	0	11.4366	6.5789
NTHL1|4913	66.4693	114.5833	84.9334	129.6748	537.1475	527.9605
NTM|50863	10.3142	2.8736	2.8031	6.9106	2073.3104	816.886
NTN1|9423	4017.5723	4746.408	1232.2355	6175.6098	119.987	1858.5526
NTN3|4917	2.6741	3.2328	9.8108	3.6585	12.1631	14.8026
NTN4|59277	458.4089	894.7557	893.623	1054.878	167.6531	378.2895
NTN5|126147	8.7862	4.3103	1.1212	21.9512	2.9586	25.7675
NTNG1|22854	3.8201	6.4655	108.7596	4.065	454.6359	207.7851
NTNG2|84628	43.1668	96.6236	8.1289	23.5772	10.5194	20.2851
NTRK1|4914	0.764	0	0.2803	2.439	11.5056	61.4035
NTRK2|4915	11.0782	27.658	8.9699	4.4715	27.2847	10.9649
NTRK3|4916	4.2021	5.3879	7.0077	7.3171	4.2735	10.4167
NTSR1|4923	90.1538	42.7443	9.2502	12.6016	68.0474	27.4123
NTSR2|23620	0	0	0	0	0	0
NTS|4922	1.91	0.3592	0	0.4065	2.6299	2.193
NUAK1|9891	283.0675	60.3448	134.2677	264.2276	345.497	1105.2632
NUAK2|81788	178.3975	531.9684	709.4604	815.8537	673.5711	188.0482
NUB1|51667	2068.4939	2278.653	2396.8521	1253.1829	1426.9912	1306.3596
NUBP1|4682	583.524	674.0014	978.6966	782.3089	221.7788	840.4441
NUBP2|10101	969.9169	1602.3707	1254.0995	2478.8618	704.8006	1947.3684
NUBPL|80224	451.1508	490.3017	608.8297	347.1545	192.308	135.4167
NUCB1|4924	11554.9613	8458.6925	5178.9769	9766.2602	4864.8995	17633.7719
NUCB2|4925	1024.6853	764.2134	5654.0126	800.8374	528.1698	2210.5373
NUCKS1|64710	4746.0605	3996.408	4590.3294	2189.8374	6511.5163	4949.0132
NUDCD1|84955	326.2344	576.1494	853.8192	556.0976	947.0758	261.5132
NUDCD2|134492	309.426	418.1034	368.3252	404.065	255.0958	518.0921
NUDCD3|23386	3634.4189	2640.0862	3591.8711	3441.0569	2135.7695	3320.7237
NUDC|10726	1160.1566	1809.2672	1314.9264	1460.9756	3445.4363	3553.1798
NUDT10|170685	2.6741	1.796	0.5606	0	30.9008	1.6447
NUDT11|55190	0.382	1.0776	0.2803	0.4065	331.6902	23.0263
NUDT12|83594	1056.2506	1206.1782	1552.0673	1112.6016	150.8878	298.7939
NUDT13|25961	18.9323	19.2313	11.5907	84.1463	79.5235	37.3355
NUDT14|256281	1098.2714	210.1293	977.9958	1719.5122	298.1596	291.1184
NUDT15|55270	481.8451	408.6315	345.7379	414.3171	222.0286	433.8816
NUDT16L1|84309	1176.965	1316.092	1287.7365	1506.9106	215.3192	593.75
NUDT16P1|152195	313.2461	480.2443	165.9425	259.3496	434.5832	50.4386
NUDT16|131870	2973.928	3142.6006	2871.1983	1316.6667	1080.2122	1101.4254
NUDT17|200035	24.4485	3.592	7.288	22.7642	60.1579	23.0263
NUDT18|79873	261.6751	350.5747	316.7484	167.4797	328.0742	254.386
NUDT19|390916	894.6614	408.046	358.5144	546.3415	339.5798	369.5175
NUDT1|4521	268.9332	317.8879	155.5711	147.561	289.6126	679.8246
NUDT21|11051	1834.3998	1510.4167	2913.8052	1937.8049	2444.4485	1155.1535
NUDT22|84304	2675.1791	2513.5955	2185.11	2317.9472	506.0232	952.3575
NUDT2|318	263.2031	463.0029	628.171	204.878	182.1173	270.8333
NUDT3|11165	419.4442	381.1063	650.035	654.878	592.7031	615.6798
NUDT4|11163	106.9621	478.4483	1497.1268	1161.7886	1656.4787	602.5219
NUDT5|11164	369.1758	341.9792	336.3672	271.7398	3350.6926	627.193
NUDT6|11162	82.4257	157.4389	128.3224	121.2967	37.7647	105.784
NUDT7|283927	173.4314	107.3994	527.5403	251.2195	41.0915	36.1842
NUDT8|254552	398.0518	144.3966	350.946	761.7886	342.2096	357.4561
NUDT9P1|119369	3.4381	5.0287	4.7652	6.0976	1.6437	13.1579
NUDT9|53343	1944.0359	1487.7874	1273.7211	1545.5285	381.6574	1018.0921
NUF2|83540	43.5488	25.1437	94.4639	21.1382	290.27	321.8202
NUFIP1|26747	114.2202	168.4626	153.8893	127.2358	219.5927	137.6096
NUFIP2|57532	1556.2983	1066.8103	1425.6482	1118.6992	2800.4648	2283.9912
NUMA1|4926	13117.5857	4926.0453	14548.6195	15321.3008	5149.545	10588.2346
NUMBL|9253	103.524	35.9195	21.3034	68.2927	1034.1897	832.2368
NUMB|8650	2978.1301	2346.9828	4097.5473	4022.3577	1483.5659	1269.7368
NUP107|57122	621.1441	844.8276	590.6097	461.3821	958.2527	536.1842
NUP133|55746	817.8779	790.5891	917.1689	474.7967	1369.8247	428.1798
NUP153|9972	734.9823	790.5891	902.8732	613.4146	1779.0956	617.8728
NUP155|9631	681.5013	803.5201	604.0645	553.6585	1175.8731	280.7018
NUP160|23279	1476.8408	1881.1063	1303.4338	1159.3496	875.0836	976.9737
NUP188|23511	1012.7017	672.773	1157.3931	691.4634	1304.0784	1381.0307
NUP205|23165	1910.4193	2074.7126	2202.6629	1958.1301	1875.0853	713.2675
NUP210L|91181	0	0	0	0	0	0
NUP210|23225	3034.6672	2350.5747	1133.0063	1229.2683	183.4323	115.6798
NUP214|8021	1948.238	1806.7529	2105.6762	1344.7154	1254.4399	931.4693
NUP35|129401	188.7117	173.8506	165.9425	120.7317	284.0241	214.9123
NUP37|79023	427.0843	447.5575	437.0007	292.6829	617.358	253.2895
NUP43|348995	573.3932	619.9713	574.6321	395.5285	680.8032	550.4386
NUP50|10762	801.0696	1198.2759	2169.8669	1350	1981.2656	1258.2237
NUP54|53371	733.0723	704.7414	572.3896	617.4797	594.0181	565.7895
NUP62CL|54830	60.3572	98.7787	212.754	95.122	1.6437	0.5482
NUP62|23636	1165.6499	994.0302	591.5431	1039.8089	1573.9934	3105.3947
NUP85|79902	250.5969	370.3305	220.6027	218.2927	577.2528	617.3246
NUP88|4927	354.4151	354.9353	435.0413	261.1829	721.4147	475.2577
NUP93|9688	558.1129	371.0489	638.8227	606.9106	1286.6556	896.3816
NUP98|4928	2189.6667	2217.6724	2656.4821	1426.0163	3135.7711	2089.364
NUPL1|9818	513.418	612.7874	817.3791	806.0976	1199.213	889.8026
NUPL2|11097	417.1521	531.6092	495.5851	616.6667	374.0966	376.0965
NUPR1|26471	2021.5834	15526.9397	22481.5697	35906.5041	393.8205	11237.9386
NUS1|116150	847.2925	757.1839	1809.9509	943.0894	993.427	837.7193
NUSAP1|51203	391.9396	214.4397	570.4275	193.4959	623.2752	739.0351
NUTF2|10204	1051.6665	1141.8822	1391.7309	1900.4065	2010.194	3748.3553
NVL|4931	310.9541	320.4023	320.6727	254.4715	731.7566	327.3026
NWD1|284434	24.4485	39.8707	28.8718	8.5366	0.6575	0
NXF1|10482	1387.069	1739.9425	1519.5515	1578.0488	1719.9239	1718.2018
NXF2B|728343	0	0.7184	0	0	0	2.4342
NXF2|56001	0	0	0.5606	0	0	74.3202
NXF3|56000	0.382	0	0	0.4065	0	43.8596
NXF4|55999	0	0.3592	0	0	0	1.6447
NXF5|55998	0.382	0	1.4015	0.4065	0	1.6447
NXNL1|115861	0.382	0.3592	0.2803	0.4065	0	0.5482
NXNL2|158046	1.146	0.3592	0.8409	1.2195	4.6022	0
NXN|64359	146.3089	26.9397	34.1976	70.7317	2044.3821	2064.1447
NXPH1|30010	0	0	0.2803	0	0	1.0965
NXPH2|11249	0.764	19.7557	71.1983	0.4065	29.5858	3.8377
NXPH3|11248	40.8748	15.0862	21.0231	15.8537	7.2321	30.7018
NXPH4|11247	2285.5506	645.4741	880.1682	2017.0732	16.1079	105.2632
NXT1|29107	130.6465	210.8477	109.6006	148.7805	527.2855	1219.2982
NXT2|55916	262.8211	258.9799	288.7176	194.3089	79.5531	150.2193
NYNRIN|57523	135.2306	92.6724	60.8269	67.8862	73.3072	638.7061
NYX|60506	0.382	0	0.5606	0.4065	5.2597	0
OAF|220323	4256.709	2363.8649	1406.3069	2630.0813	915.1889	2705.5921
OAS1|4938	634.5144	318.2471	105.1156	148.374	58.843	338.8158
OAS2|4939	444.6567	178.5201	84.6531	180.8943	156.1475	375
OAS3|4940	654.7608	720.1868	286.7554	233.3333	137.4098	510.9649
OASL|8638	44.3129	98.4195	15.417	10.9756	29.5858	71.8202
OAT|4942	2821.889	2176.0057	1941.9762	1233.7398	2661.7401	1061.9518
OAZ1|4946	9397.0012	22549.9282	13143.3777	18041.4634	17146.6423	20688.5965
OAZ2|4947	3256.6135	3279.8132	11199.4394	2967.8862	1082.842	2104.1667
OAZ3|51686	6.5782	2.1911	6.2565	4.8171	4.7699	7.1272
OBFC1|79991	669.6591	500.3592	872.5999	667.8862	1567.0637	307.5658
OBFC2A|64859	72.9634	43.4626	81.0091	300.4065	533.5314	620.614
OBFC2B|79035	415.2421	684.2672	542.3966	242.6829	1108.4831	947.3684
OBP2A|29991	0	0	0	0	0	0.5482
OBP2B|29989	0	0	0	0	0	0
OBSCN|84033	561.5892	437.5718	464.6671	1094.3984	273.0478	88.8158
OBSL1|23363	548.1807	30.1724	854.0995	1024.3902	612.7558	1389.8026
OC90|729330	0	0	0	0	0	0.5482
OCA2|4948	0.382	0	0.2803	0	39.1191	2.193
OCEL1|79629	295.6738	232.3994	338.3322	403.6585	375.7403	857.4561
OCIAD1|54940	4495.4637	5317.5287	6419.061	3797.1545	1909.9308	2815.7895
OCIAD2|132299	726.5782	645.1149	454.9404	436.1789	943.7885	418.3114
OCLM|10896	3.0561	2.1552	1.4015	0.4065	1.3149	1.0965
OCLN|4950	332.7285	347.7011	255.0806	530.8943	14.1355	23.5746
OCM2|4951	0	0	0	0	0	0
OCM|654231	0	0	0	0	0	0
OCRL|4952	1339.3181	1303.1609	1509.4604	1079.2683	1043.3942	553.7281
ODAM|54959	86.3337	48.4914	1180.939	130.0813	0	0
ODC1|4953	1127.304	884.6983	760.4765	949.187	3609.8021	789.4737
ODF1|4956	0	0	0	0	0	0.5482
ODF2L|57489	160.8251	161.9971	62.2285	111.7886	319.8559	553.1798
ODF2|4957	455.3529	392.9598	546.321	354.4715	887.2467	631.0307
ODF3B|440836	13.7523	10.0575	1.1212	58.9431	33.8594	182.0175
ODF3L1|161753	7.6401	12.931	0.5606	2.8455	1.6437	3.8377
ODF3L2|284451	3.0561	1.0776	1.9622	0.813	392.1768	26.864
ODF3|113746	0	0.3592	0.2803	0.813	0	0
ODF4|146852	0	0	0.5606	0.4065	0	0
ODZ1|10178	51.953	1.0776	119.972	0.813	3.616	290.5702
ODZ2|57451	31.7066	7.9023	15.6973	20.7317	2085.8022	240.1316
ODZ3|55714	677.2992	384.6983	660.9671	4.4715	467.4564	1317.9825
ODZ4|26011	1156.7186	159.1236	47.6524	29.6748	72.9784	209.4298
OFD1|8481	697.9276	917.3851	850.1752	1008.1301	251.8084	686.9518
OGDHL|55753	44630.6943	17607.7586	24194.8143	21126.0163	97.6333	11.5132
OGDH|4967	22124.3434	17804.9569	13215.6973	17692.6829	2958.9135	4197.3684
OGFOD1|55239	787.6994	594.8276	806.7274	817.8862	1040.4356	851.9737
OGFOD2|79676	488.6792	612.2522	479.5039	714.3333	257.1963	745.3235
OGFRL1|79627	109.6361	31.6092	112.4036	131.7073	485.5366	471.4912
OGFR|11054	668.5283	1021.1925	788.768	957.9146	2048.3268	3875.2632
OGG1|4968	317.0967	488.9404	451.5767	296	472.6273	794.9561
OGN|4969	0.764	4.6695	161.1773	0.813	2.6299	251.6447
OGT|8473	3067.9018	3868.1753	2965.3819	3114.6341	1790.93	2702.8509
OIP5|11339	52.1249	23.3944	40.5382	34.5325	29.7831	91.9243
OIT3|170392	1.91	0.3592	1.9622	2.0325	0.3287	4.386
OLA1|29789	933.2442	802.8017	877.3651	470.3252	6016.7752	1109.6491
OLAH|55301	0	0.3592	0.2803	0.813	0.3287	6.5789
OLFM1|10439	33.6167	1.4368	12.6139	9.3496	31.887	4.9342
OLFM2|93145	27.1225	6.1063	6.4471	25.2033	758.0552	18.6404
OLFM3|118427	0	0	0	0	0	0
OLFM4|10562	24.8305	0	0.2803	0.813	21.3676	3.8377
OLFML1|283298	67.6153	26.5805	34.4779	28.0488	59.5004	43.3114
OLFML2A|169611	634.1324	188.9368	596.7765	254.4715	563.1173	643.0921
OLFML2B|25903	472.1612	160.5603	171.829	313.0081	1278.1086	13095.3947
OLFML3|56944	593.6396	227.0115	81.5697	321.1382	333.3339	6120.0658
OLIG1|116448	198.6439	362.4282	105.6762	703.6585	0.3287	1.6447
OLIG2|10215	4.2021	2.8736	0.8409	2.8455	0.3287	0.5482
OLIG3|167826	0	0	0	0	0	0
OLR1|4973	45.0769	64.6552	20.1822	165.4472	248.5211	161.7325
OMA1|115209	250.2149	377.8736	440.0841	285.7724	273.176	120.0658
OMD|4958	0.764	0	204.9054	1.2195	4.2735	2.7412
OMG|4974	0.382	5.7471	35.8795	1.2195	2.9586	2.193
OMP|4975	1.528	1.0776	1.9622	3.6585	0	2.7412
ONECUT1|3175	0	0	0	0	0	2.7412
ONECUT2|9480	87.0977	105.6034	183.8823	12.1951	248.8499	12.0614
ONECUT3|390874	0	0	0	0	0	0
OOEP|441161	0	0	0	0	0	0
OPA1|4976	3973.6415	2463.0029	3385.8444	1135.3659	2412.8902	1154.6053
OPA3|80207	1603.6673	1468.0316	822.9853	1530.8943	386.5884	986.8421
OPALIN|93377	3.0561	1.4368	0	0	0	0
OPCML|4978	14.1343	2.5144	2.5228	4.065	0.3287	0.5482
OPHN1|4983	344.9527	182.1121	665.1717	212.1951	475.0172	66.886
OPLAH|26873	1649.1262	904.8132	265.1717	2877.6423	1147.6021	263.7061
OPN1LW|5956	0.382	0	0.2803	0	0	1.0965
OPN1MW|2652	0	0	0	0	0.6575	0
OPN1SW|611	0.764	0	1.1212	2.439	0.3287	6.0307
OPN3|23596	618.982	397.3096	159.6496	859.8211	520.6748	861.1075
OPN4|94233	1.146	1.0776	0.8409	2.0325	0	2.193
OPN5|221391	0	0.7184	0.5606	0.4065	0	0
OPRD1|4985	0	0	0	0	0	0
OPRK1|4986	11.0782	0	2.8031	0.4065	0	0
OPRL1|4987	23.3025	9.3391	13.4548	45.122	49.3097	171.6009
OPRM1|4988	0	0	0	0	0	0
OPTC|26254	0	0	0	0	0	0
OPTN|10133	1990.6408	1886.8534	607.1479	1815.8537	4293.5639	393.0921
OR10A2|341276	0	0	0	0	0	0.5482
OR10A3|26496	0	0	0	0	0	0.5482
OR10A4|283297	0	0	0	0	0	0
OR10A5|144124	0	0	0	0	0	0
OR10A6|390093	0	0	0	0	1.9724	0
OR10A7|121364	0	0	0	0	0	0
OR10AD1|121275	1.146	0.3592	1.4015	5.6911	0	0
OR10AG1|282770	0	0	0	0	0	0
OR10C1|442194	0	0	0	0	0	0
OR10G2|26534	0	0	0	0	0	0
OR10G3|26533	0	0	0	0	0	0
OR10G4|390264	0	0	0.2803	0	0	0
OR10G7|390265	0	0	0.2803	0	0	0
OR10G8|219869	0	0	0	0.4065	0	0
OR10G9|219870	0	0	0	0	0	0
OR10H1|26539	0	0	0	0	0	0.5482
OR10H2|26538	0	0	0	0	0	0
OR10H3|26532	0	0	0	0	0	0
OR10H4|126541	0	0	0	0	0	0
OR10H5|284433	0	0	0	0	0	0.5482
OR10J1|26476	0	0	0	0	0	0
OR10J3|441911	0	0	0	0	0	0
OR10J5|127385	0	0	0	0	0	0
OR10K1|391109	0	0	0	0	0	0
OR10K2|391107	0	0	0	0	0	0
OR10P1|121130	0	0	0	0	0	0
OR10Q1|219960	0	0	0	0	0	0
OR10R2|343406	0	0	0	0	0	0
OR10S1|219873	1.146	0	3.644	0.813	0	0
OR10T2|128360	0	0	0	0	0	0
OR10V1|390201	0	0	0	0	0	0
OR10W1|81341	0	0	0	0	0	1.0965
OR10X1|128367	0	0	0	0	0	0
OR10Z1|128368	0	0	0	0	0	0
OR11A1|26531	0	0	0	0	0	1.6447
OR11G2|390439	0	0	0	0	0	0
OR11H12|440153	0	0	0	0	0	0
OR11H1|81061	0	0	0	0	0	0
OR11H4|390442	0	0	0	0	0	0
OR11H6|122748	0	0	0	0	0	0
OR11L1|391189	0	0	0	0	0	0
OR12D2|26529	0	0	0	0	0	0
OR12D3|81797	0	0	0	0	0	0
OR13A1|79290	0	0	0	0.813	0.3287	1.6447
OR13C2|392376	0	0	0	0	0	0
OR13C3|138803	0	0	0	0	0	0
OR13C4|138804	0	0	0	0	0	0
OR13C5|138799	0	0	0	0	0	0
OR13C8|138802	0	0	0	0	0	0
OR13C9|286362	0	0	0	0	0	0
OR13D1|286365	0	0	0	0	0	1.0965
OR13F1|138805	0	0	0	0	0	0
OR13G1|441933	0	0	0	0	0	0
OR13H1|347468	0	0	0	0	0	0
OR13J1|392309	0	0.7184	1.4015	0.813	0	0
OR14A16|284532	0	0	0	0	0	0
OR14C36|127066	0	0	0	0	0	0
OR14I1|401994	0	0	0	0	0	0
OR14J1|442191	0	0	0	0	0	0
OR1A1|8383	0	0	0	0	0	0
OR1A2|26189	0	0	0	0	0	0
OR1B1|347169	0.382	0	1.1212	2.0325	0	0
OR1C1|26188	0	0.3592	0	0	0	0
OR1D2|4991	0	0	0	0	0	0
OR1D4|8385	0	0	0	0	0	0
OR1E1|8387	0	0	0	0	0	2.7412
OR1E2|8388	0	0	0	0	0	2.193
OR1F1|4992	0.382	0	0	0	2.9586	0.5482
OR1F2P|26184	0	0	0	0	1.9724	0
OR1G1|8390	0	0	0	0	0	0
OR1I1|126370	0	0	0	0	0	0
OR1J1|347168	0.382	0	0.8409	0	0	0
OR1J2|26740	0.764	0	1.5445	0.4065	0	2.2478
OR1J4|26219	1.146	0	1.1212	0	0	0
OR1K1|392392	0	0.3592	0	0	0.3287	0
OR1L1|26737	0	0	0	0	0	0
OR1L3|26735	0	0	0	0	0	0
OR1L4|254973	0	0	0	0	0	0
OR1L6|392390	0	0	0	0	0	0
OR1L8|138881	21.0104	15.0862	42.6069	26.4228	0	0
OR1M1|125963	0	0	0	0	0	0
OR1N1|138883	0	1.4368	15.6973	2.0325	0	0
OR1N2|138882	0	0	0.5606	0.4065	0	0
OR1Q1|158131	0.382	0	1.1212	0	0	3.2895
OR1S1|219959	0	0	0	0	0	0
OR1S2|219958	0	0	0	0	0	0
OR2A12|346525	0	0	0.2803	0	0	0
OR2A14|135941	0	1.0776	0	0.4065	0	0
OR2A1|346528	2.6741	6.8247	1.4015	4.065	0.6575	1.0965
OR2A25|392138	0	0.3592	2.5228	0.813	0	0
OR2A2|442361	0.764	1.4368	0	0	0	0
OR2A4|79541	11.0782	117.0977	36.7204	84.1463	1.3149	1.0965
OR2A5|393046	0.764	0	0.2803	1.2195	0	0
OR2A7|401427	149.7469	626.4368	173.7912	358.5366	8.547	8.2237
OR2A9P|441295	42.4028	248.204	55.5011	114.2276	14.4642	64.693
OR2AE1|81392	0	0	0.2803	0.813	0	0
